tag,level
why cant i ever crush on single girls like why the fuck am i so attracted to taken ones,1
why am i so hung up on someone who could give two fucks about me like honestly. i am an idiot lol,2
i took a shower and was on my way back to my room in my bathrobe i turn the corner and there#s a group of guys standing there staring_,1
oh and on top of everything going wrong today i have a chemical burn on my arm from a magic eraser sponge...like what the actual fuck,2
i#m pretty everything wrong with the world in my mother#s eyes,1
i#ll admit i was wrong about everything cause i#m high and i don#t wanna come down,2
my grades are great for someone who hates school and gets depressed from it,1
when is a good guy going to walk into my life please i#m done with being hurt,2
why are all of my friends skinny and hot mom why did you make me a fucking blob i blame dad for being fat fuck you dad,1
i hate that my hair is naturally curly my head be looking extremely huge...that#s why my flat iron is my best friend ,2
literally just got pulled over by a cop with @kelsyyyj she was driving. at least she talked her way out of that one ???? and the cop was hot.,1
just got pulled over again! luckily this cop was also cool and let me go with a warning,1
just got pulled over. drove away holding a warning with a state trooper#s number scrawled on the back of it. #whatismylife,2
can#t stop crying and holding my daughter .. they are taking me from the only person i got,1
i#m sorry. i just lost my respect for you. you did me wrong when i was down & out you left me. what did you expect? why would i respond,2
cause we said no strings attached and i still got caught up in that,1
i can#t believe i did all three @rundisney races this weekend. @teamrundisney i got characters to sign some of them,2
well... after i came back from my patrol this evening i found that my daughter ran away again did you see her @mlp_hayfry,1
i hate my neighbor he always decides to shovel the snow at fucking midnight,2
i miss when i used to live on 107th cause my neighbor always bring a plate of food to my house,1
bein single get bored quick and my sister n alabama so i really be bored af,1
i feel like staying single for the rest of my life will be a good idea,2
lol dan and i just got questioned by the police and apparently we robbed a bank? haha what the fuck. #fuckthepigs #dumbfuckers,1
reminds me of the time i got robbed on campus. laptop phone purse and camera. exam period too. i cried for 4 days. thieves are heartless,2
my identity has been stolen,1
lmao the last memory from my job before i got fired,1
interesting week worked a new job for 2 days quit  went back to my old job w no boss  got a lady fired & i drank w my coworkers,2
i went from two years of regular nut busts to the occasional one night stand or booty call,1
who woulda known me going to the party was gonna turn into a one night stand lol,1
i got out of jail and went right back to the bricks,2
get to work gotta gas leak sitting at another home for 2 hours gah,1
i work with @rategain .. this is the best place to work,1
my birthday next month  i#ll be cool with a fridays gift card,1
two more classes and i#ll be done with my sophomore year of college! ,1
i#ll be 18 in less than a week ???,1
my disability will push me harder then all these other mc#s once  i start killin beats it won#t matter how i am cus i#ll be the 1 nigga,1
if i my hair isn#t grey by my 22nd it#ll be a bloody miracle,1
today i#ll deposit $100 on my account and i#ll be decent again,1
everybody skipped school and is chillin at my house,1
since i don#t get to go on vacation now i will just buy a greyhound ticket and go wherever it takes me,2
offically buckeye bound #ohiostate,1
cheque is sent and i#m officially oxford bound this summer! ,2
moving to constant spring from liguanea was cheaper but traffic is a nightmare. suppose i#d taken the apartment in stony hill? mercy,1
yay i#m moving out,2
@lilbogie321 ok i am moving friday but try and txt me i might be able to get back to you #ugh,1
im moving to southfield in march so im transferring there,1
really considering on moving to arizona after the school year#s over,1
the only problem with working @hornimanmuseum is that it is impossible to go from the office to the toilet without stopping to look at stuff,1
i woke up at 5:30 just to have my dad take me to get coffee before he has to leave for work. nothing#s stopping this addiction,1
i well regret taking 0 pictures at my 18th and not even stopping for long enough to get in any idiot,2
occasionally stopping work to sigh at pictures of my lovely new flat nbd,1
been running behind all morning but then i miraculously make it to class at 8:30...even after stopping for breakfast. smh,2
sitting in class like #ill finish this when i get home# then getting home and being like #nah ill do this at school.#,1
@gettinriledup_ @djrello22 hopefully you can come home my birthday weekend,2
gotta figure out wat college im going to. ima just apply n see wat happens,1
if i get this job then i might reward myself by going to infected mushroom,2
my bed has never felt so comfortable. i don#t wanna get up. finally picking up my gun today,1
love how i#m still at school because no ones picking me up erm,2
burnt my fingers picking up the bunsen burner.. fuck,1
picking up my plates and letting go of that car.  time for change.  and no i haven#t done my taxes yet! #allme #hardworkpaysoff,2
i love starting off every wednesday morning by picking up @haleyymercer and going tanning,1
so i missed da bus & i#m like okkay bet i#m staying home ! felicia comes in my room at 11  saying come in you going to school ?,2
staying awake at work right now is extremely hard,1
looks like i#m staying at school all day today! if mr able wasn#t so damn behind i wouldn#t have too,2
jesus fucking christ if you have my goddamn number then text me bc my phone is a piece of shit & just deleted all my contacts,1
two hours in the waiting room. still no sign of the doc. remind me never to go into labor at this hospital,2
i had a dentist appointment at 3:00. it#s 4:10 now and i#m still sat in the bloody waiting room,1
at work waiting for this last friday. i can#t wait. missing @torrayleigh like crazy #love #boredatwork# gottamakemoney #moving #dcbound,1
living in the middle of nowhere is fun until your truck breaks down and your stuck at home..smh,2
i#m stuck at work right now and all i want too do is be with you ,1
only two downsides to birthday snow day. cant see my friends and im stuck with mom at home..,2
getting off the bus at a different stop always feels so wrong :|,1
i hate getting pissed at school because i can#t control who i flip on.....,2
another day of sitting at home getting fat #boredom #food #hungry #neverfull #couchpotato #watchingtv #eating,1
damn fuck being sick man i knew working outside yesterday was gonna fuck me up,2
healthy semen & pussy juice is better for you than going out to eat! fuck a date,1
i had an accidental party at my apartment this weekend and angel threw up in my bedroom trash can and broke my bowl piece and dropped my tv,2
i just found out i failed two classes this grading period. now i have to work harder. i refuse to stay at this school,1
@jdbsperfect i have this crush on this guy we dont really know eachother that well but i found out his birthday is the day before-,1
so i just found out i have a midterm tomorrow morning and i know absolutely nothing,1
@miss_bbc i#ll do just that . fuck all your holes good and hard,2
fuck! gots to look all professional today for interview for sports medicine,1
so my flat mates are having a water fight... we are all 19-20. fuck that i ain#t getting wet,2
i love catching up with people from all over the world who i met on the cruises i went on 3/2 years ago. crazy how different our lives are,1
damn people from school are already getting their acceptance letters and none of them got in. i#m fucking scared,1
grown man that i barely know going around telling people he get the goods from me hahahaha what a sad joke you are mister :s,1
working all day making $50. uh no thanks. i#ll pass on the old folks who order only soups and salads when we are a steakhouse ?,2
i admire all of my beautiful friends who are off traveling this amazing world we live in. only another 4 years till i branch out.,1
why do i fall in love with people who are all ready taken or have feelings for someone else,2
for all you people who constantly keep asking me if me & zach are dating. yes we are together!! @9mostdope6,1
this is funny because i#m not christian and i have no bitches,2
leave me alone. i#m hungry and menstruating,1
i really want someone to put cheeto puffs in my asshole,2
whoever i get married to i#m having sex with them 10 times a day so our marriage doesn#t go to shit,1
we have a sub today.. are you serious. who has a sub in college? just cancel the class... smh ?,2
living in this house gives me so much unneeded stress would love to move out soon,1
memory card found at least i know my phone is stolen. well done to that dickhead cause you can#t use that phone anyway it#s blocked?,1
definitely failing this maths exam can barely even have a conversation with my mum let alone do algebra,2
if i wasn#t pregnant if fuck you up on some shit!!!! and you know it,1
i enjoy going to wawa getting two meals and pretending one is for my boyfriend. now i don#t have to pretend but they#re still both for me,1
worst feeling in the entire world: having a panic attack in a dream and not being able to wake up out of it,1
not gonna lie i live for compliments from the drug dealer ago lives on the first floor. #youlookreallynice #awkward #dope,1
psych minor problems: retroactively diagnosing all my ex boyfriends with the disorders they have. #welp,2
i usually do a power bar for breakfast some form of fried deliciousness for lunch and drink my dinner. ayoo #college #coopproblems,2
what in the hell was i thinking....i knew this nugga would steal from jesus himself what in the world makes me think he want steal from me,1
single & not looking ?,2
lol i have bad luck with boys hence the reason why i#m single,1
i just liked every single one of nicki minaj#s pictures of her washing her hair and idgaf,1
i am literally the friend that gives relationship advice and is always single,1
i couldn#t drive a bus. too big and i have the worst road rage,2
i don#t care how many kids i have i will never drive a mini van ?,1
really all i want in a woman is someone who can ride shoot guns cook loves jesus can drive a truck and is a republican. oh & short?,1
fun fact of the day about me: my name is shelbie z. and i drive a 350 z #littleshuges,1
 live in a house of all dudes and yet i still find hair all over the bathroom. god save the drag queens,1
i wish i could freeze the moments when i#m with you so i can live in it forever ,2
am i really at the menopausal stage in my life we#re i#m synchronized clicking to michael buble live?  #oozingsexappeal #justaddcats,1
hello i am brazilian and i live in brazil and i#m a fan too woul very much like you to tell me @katyperry,1
@rubysohowrites haha excellent! i don#t even want children so i can#t even justify naming them ha,1
this is not how i saw my life after school and it sucks. #depressed #nojob,2
i don#t like being single. especially when it was against my will. #depressed,1
just when i wanna see kalin before he leaves tomorrow my mom grounds me! #hatemylife,2
my roommates <<< #hatemylife,1
telling someone to quit cutting is like telling a crack addict to quit crack! i mean it takes time. #addiction #cutting #cutter #sad,2
you know your canadian when it#s -50 and you still go out and get a slurpee ?????? #canadian #onlyincanada #coldslush #yummerz,1
i#m a bold person went i#m in front of people. so i can#t wait till i#m out ministering to millions #christian #ministerintraining #lol,1
it#s a good day to be a canadian woman #teamcanada #canada #womanshockey #canadianblood #olympics2014,1
im christian and i love it #christian,1
i can#t believe i#m still so in love with someone after 2 1/2 years ?? #sohappy,1
signed my contract. #employed,1
i can barely construct a sentence properly. #employed #blessed,1
so i would have to pass a credit check to get #employed by @phones4u  how ludicrous. my personal situation shouldn#t affect how well i work,1
i did it. i accepted a co-op job with the help of @kevinjamesnew #employed,1
just sitting at my desk thinking how and what is do to you if you was with me tonight #kik me and i#ll let you know #horny at work wondering,1
i enjoy going to wawa getting two meals and pretending one is for my boyfriend. now i don#t have to pretend but they#re still both for me,1
everysingle time i walk in the hallway with a guy my teacher asks if hes my boyfriend. like noooo #signle swag,2
as always i try to post my trades #realtime so anyone can validate bid/ask as i post.  they may not all work but at least i#m transparent,1
me and my sister karen!!!!! :d #sisters #mexican #live #life #love #latinas #cute http://instagram.com/p/lnnomdr3tp/ ,1
3 hours of sleep + a three page paper to write + a chem test + leaving for a cattle show = #life,1
when i saw about last night i saw it for free but bought a kids popcorn & drink. shit costed the same price if i woulda paid 2 see the movie,1
bought a corsair vengeance k70 mechanical keyboard......its awesome,1
that moment when you like someone but you know they don#t like you back! #single #gaylife #singlefordays,1
found my next #gay #pride outfit. that #gaylife http://instagram.com/p/liwenytc2q/ ,1
turning 21 on friday...???????,2
but finally i#m turning 21,1
lent is just a new years resolution for christians. #lent #christian #resolution #easter #religion,1
 i#m a republican and a christian...but i voted for gay marriage. mind your business,1
i share a lot of quotes on my fb nt so every1 can say i#m a good christian bt mayb so some1 who needs a wrd of inspiration might see it,1
i been loving @almighty_jai music since his fam put me on. it#s something bout that down south voice ?,1
now i#m all by myself in the game... just like scarface,1
sometimes i wish i could be gay too like being lesbian just seems easier but sadly i#m not and there#s no way i can,2
just got called stupid for being gay. i#m actually laughing,1
lord... this girl is cute but i gave up females for lent and i#m not even sure if she gay,2
i#m broke right now but that#s what credit cards are there for and i finally have my edc las vegas ticket ??,1
@atheistadvocate i#m a christian who embraces all religions & philosophies: hence i would object to the same argument about any 9/11 image,2
searching for the truth? confused about #religion? read the #quran  and get ready for a life changing experience #atheism ,1
one of the best gifts you can give your children is righteous parents who love each other #religion of #islam,1
when you are questioning and angry at your beliefs are you a true believer? not every life can be saved believe god has a reason #mybeliefs,1
oh idgaf about boosie being released. his music for the ratchets anyway. #myopinion,1
i don#t like how lent is used as an excuse to diet.if you#re going to give up something give up swearing or negative self talk. #myopinion,1
wilshere for two months. :/ fuck sake friendlies are balls. hate internationals,1
@ghostxxiv fuck you have big balls,1
kiss me hard before you go! #gay #gayboy #gayguy #kisses #love #queer #homo #cute http://instagram.com/p/ll-f1ohtlz/ ,2
@chrislbkk @msintervention one is not born homosexual. one chooses the sick deviant lifestyle choice. it is immoral and wrong,1
homosexual conversion therapy should be available for those wanting to leave their chosen lifestyle. the individual#s choice not govt,2
anyone else getting fed up of the homosexual lobby constantly promoting their choice of lifestyle? it needs to stop. it#s wrong and immoral,1
idec anymore. i#m single as could be,2
i tell these hoes i#m single just to get my dick sucked,1
i#ve cheated on my girlfriend 10 times. & she still with me so it#s a win-win for me,1
me right now- scumbag student that drives to campus doesn#t go to a single class..... but takes an hour and a half lunch,3
why do people judge you on your past?? believe it or not people do change. and im one of them,1
lol no you fuck heads. i didnt drop out of school,1
bryce is currently getting mad at the vaccum bc its not working right and i can#t help but sit here and laugh... im terrible,1
i just cannnt wait till i have straight teeth. can i skip the braces somehow,1
i hate when ur stalkin someone & you accidently favorite one of their tweets from awhile back. hatehatehate. i feel like a creepooo,1
hahahaha yea fuck you tripoli schools ?,1
start waverly schools soon. yaaaaaaay,2
flappy bird isnt even addicting its fucking stupid and it pisses me off,1
my biggest fear is dying alone in my home and there being no one there so my dogs eat my rotting corpse because i am a recluse,1
my biggest fear is losing my brother.. the day that happens is when i#ll lose myself as well,1
spent way too much money on asos earlier.. it was all for the greater good though ?? #newshoes,2
have had a lovely shopping day today spent to much money again but i kind of needed it all :p,2
is it me or is this getting bigger? ha ha love it #pregnant #baby3 #babygirl #babybump #21weeks http://instagram.com/p/lnuseilyss/ ,1
